ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Italy Wine,Italy White Wine,ITALY,116580,MOSCATO D'ASTI - RUFFINO,83085904098,0.75,1,6,14.99,10
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,135135,BALVENIE - WEEK OF PEAT 14YO,5.01033E+12,0.7,1,48.3,254.99,NA
Wine,Chile Wine,Chile Rose Wine,CHILE,206163,ROSE - VINA CASABLANCA CEFIRO,7.80435E+12,0.75,1,12.5,15.99,0
Wine,France Wine,France White Wine,FRANCE,474547,COTES DU RHONE - CHAPOUTIER DOMAINE DES GRANGES DE MIRABEL,3.39118E+12,0.75,1,13.5,26.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,852087,CHIANTI CLASSICO RISERVA - ANTINORI VILLA ANTINORI 2017,8.00194E+12,0.75,1,13.5,34.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,860635,BAROLO - MARCARINI LA SERRA 2016,7.26452E+11,0.75,1,14,84.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,881490,COPPER MOON - MALBEC,48162014848,4,1,14,39.49,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,948893,CABERNET SAUVIGNON - BERTON METAL,9.33597E+12,0.75,1,14.4,14.99,0
Wine,Fortified Wine,Vermouth Wine,ITALY,9779,MARTINI - BIANCO,11034430046,1,1,15,12.99,7
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,19227,WOODFORD RESERVE - KENTUCKY DERBY,81128022280,1,1,45.2,69.99,NA
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,24006,WOODFORD RESERVE -  GIFT PACK,8.08755E+11,0.75,1,45.2,49.99,NA
Wine,Australia Wine,Australia White Wine,AUSTRALIA,67924,CHARDONNAY - VASSE FELIX FILIUS MARGARET RIVER 2019,9.31503E+12,0.75,1,12.5,29.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,108817,SHIRAZ - PIRRAMIMMA 1892 MCLAREN VALE 2018,9.31579E+11,0.75,1,14.5,27.99,0
Wine,France Wine,France Rose Wine,FRANCE,110018,PROVENCE ROSE - BERNARD MAGREZ CHATEAU DES MURAIRES,3.76012E+12,0.75,1,12.5,32.99,0
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,JAPAN,131701,CHOYA - YUZU,7.81682E+11,0.75,1,15,36.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,132212,CALIFORNIA RED - JOSH CELLARS LEGACY 2019,31259048024,0.75,1,14.5,19.99,0
Wine,France Wine,France Red Wine,FRANCE,142860,ST JULIEN - CHATEAU DU GLANA 2018,3.76015E+12,0.75,1,13,55,NA
Wine,France Wine,France White Wine,FRANCE,151100,PAYS D'OC VIOGNIER - PAUL MAS,3.76004E+12,0.75,1,13.5,15.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,152355,WARRE'S - WARRIOR FINEST RESERVE,5.01087E+12,0.375,1,20,13.99,10
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,181313,ZINFANDEL - SLEDGEHAMMER CALIFORNIA 2014,89819011636,0.75,1,13.9,14.47,0
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,183356,SAUVIGNON BLANC - VINOLOGIST CAPE TOWN,6.00204E+12,0.75,1,13,13.99,0
Wine,USA Wine,USA Rose Wine,UNITED STATES OF AMERICA,239756,WHITE ZINFANDEL - BERINGER,89819006526,0.75,1,10.6,7.99,0
Spirits,Vodka,Straight Vodka,CANADA,350397,BANFF ICE,7.7768E+11,0.75,1,40,21.99,NA
Wine,Greece Wine,Greece Red Wine,GREECE,456412,AMYNDEON XINOMAVRO - KIR-YIANNI KALI RIZA,5.20389E+12,0.75,1,13.5,33.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,477706,TWIN SAILS BREWING - WOULD CRUSH BLUE RASPBERRY TALL CAN,6.96852E+11,0.473,4,5.1,13.49,NA
Spirits,Rum,Dark Rum,GUYANA,497198,LEMON HART - PREMIUM DEMERARA,8.14789E+11,1.14,1,40,37.99,NA
Wine,France Wine,France Red Wine,FRANCE,550020,ST EMILION - CHATEAU TROTTEVIELLE 2010,3.24999E+12,0.75,1,14,165.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,868380,GLENLIVET - 12 YEAR OLD,80432101377,1.14,1,40,92.99,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,3400,CUTTY SARK,5.0105E+12,0.75,1,40,25.99,NA
Wine,Canada - Other,Canada - Other Sparkling Wine,CANADA,7047,BABY CANADIAN SPARKLING,48162001053,1.5,1,6.9,11.49,4
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,33087,HIRES - ROOT BEER AND VODKA TALL CAN,56000010631,0.473,1,5,2.99,NA
Wine,France Wine,France Red Wine,FRANCE,120061,CHATEAU GRACIA 2016,3.41947E+12,0.75,1,15,200,NA
Wine,France Wine,France Red Wine,FRANCE,122955,POMEROL - CHATEAU L'EGLISE CLINET 2018,,0.75,1,13,700,NA
Spirits,Vodka,Flavoured Vodka,SWEDEN,200923,ABSOLUT - APEACH,8.35229E+11,0.75,1,40,24.99,1
Beer,Import Beer,Mexico And Caribbean Beer,MEXICO,262626,PACIFICO CLARA,80660953014,0.355,6,4.6,14.49,NA
Wine,Italy Wine,Italy Red Wine,ITALY,308510,CHIANTI CLASSICO - ROCCA DELLE MACIE 2017,8.00231E+12,0.75,1,13,19.99,0
Wine,France Wine,France Champagne Wine,FRANCE,376483,POL ROGER - BRUT 2013,89744301956,0.75,1,12.5,109.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,406496,TALISKER - STORM,88076179028,0.75,1,45.8,85.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,503938,DALMORE CONSTELLATION 1964 CASK 09/693,5.01397E+12,0.7,1,45.1,75000,NA
Spirits,Liqueurs,Fruit Liqueurs,FRANCE,525261,GRAND MARNIER - CUVEE LOUIS ALEXANDRE,3.0183E+12,0.75,1,40,79.99,NA
Beer,Import Beer,Europe Beer,UNITED KINGDOM,676767,FULLERS LONDON PRIDE TALL CAN,5.01189E+12,0.5,4,4.7,10.99,NA
Wine,France Wine,France Red Wine,FRANCE,949453,CHATEAU MOUTON ROTHSCHILD 2013,,0.75,1,13,750,0
Wine,Other Country Wine,Other Country White Wine,SLOVENIA,33154,PRIMORSKA SAUVIGNON BLANC - GIOCATO 2016,8.93928E+11,0.75,1,12.5,13.97,0
Wine,France Wine,France Red Wine,FRANCE,90665,PESSAC LEOGNAN - CHATEAU LA GARDE ROUGE 2018,3.25869E+12,0.75,1,14,55,NA
Wine,Chile Wine,Chile White Wine,CHILE,108106,SAUVIGNON BLANC - VINA FALERNIA ELKI,7.80962E+12,0.75,1,13,15.99,1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,111942,COORS ORIGINAL,56327014602,0.341,12,5,25.29,NA
Spirits,Asian Spirits,China Spirits,CHINA,143172,FEN JIU - 30 YEAR OLD,6.90343E+12,0.5,1,48,136.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,145009,SHIRAZ  - BURONGA HILL,7.64254E+11,0.75,1,13,8.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,158311,HESTER CREEK - CHARACTER RED  2020,6.2699E+11,0.75,1,13.8,20.99,0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,ITALY,164780,SAMBUCA DEI CESARI - LUXARDO,8.00035E+12,0.375,1,38,13.99,NA
Wine,Chile Wine,Chile Rose Wine,CHILE,179165,ROSE - MANCURA ETNIA 2020,7.80445E+12,0.75,1,13.4,7.97,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,237266,BORDERTOWN - CABERNET FRANC 2018,6.2699E+11,0.75,1,14.9,22.49,0
Spirits,Whisky,Canadian Whisky,CANADA,387209,CENTENNIAL - CANADIAN RYE LIMITED EDITION,7.74828E+11,0.75,1,40,24.99,NA
Spirits,Gin,Flavoured Gin,UNITED KINGDOM,438270,CAMBRIDGE - TRUFFLE GIN,5.06054E+12,0.7,1,42,169.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,619163,PUGLIA PRIMITIVO - FARNESE FANTINI,8.01987E+12,0.75,1,14,12.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,879486,TAYLOR FLADGATE - QUINTA DE VARGELLAS VINTAGE 1988,5.01363E+12,0.375,1,20.05,45.99,10
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,61331,GRENACHE - PIRRAMIMMA STOCK'S HILL,9.31579E+12,0.75,1,14.5,28.99,1
Wine,Spain Wine,Spain Red Wine,SPAIN,63321,TORO - TERRA D'URO FINCA LA RANA 2012,8.43701E+12,0.75,1,14.5,22.99,0
Wine,France Wine,France Red Wine,FRANCE,98093,MARGAUX - CHATEAU BRANE CANTENAC 2018,,0.75,1,13,180,NA
Spirits,Gin,Dry Gin,CANADA,111021,GORDONS - LONDON DRY,6.22153E+11,1.75,1,40,51.99,NA
Wine,France Wine,France Champagne Wine,FRANCE,127744,BILLECART SALMON - BLANC THE BLANCS CUVEE LOUIS 2007,3.11395E+12,0.75,1,12.5,279.99,1
Wine,Italy Wine,Italy White Wine,ITALY,169990,VERDICCHIO CLASSICO SUPERIORE - MUSONE VIA CONDOTTO 2019,8.05176E+12,0.75,1,12.5,19.99,0
Wine,Italy Wine,Italy White Wine,ITALY,198262,SICILIA CATARRATTO - CARUSO & MININI NATURALMENTE BIO 2017,8.02892E+12,0.75,1,13,21.97,0
Wine,Spain Wine,Spain Red Wine,SPAIN,223052,RIBERA DEL DUERO - PORTIA PRIMA LA ENCINA,8.43604E+12,0.75,1,14,42.99,0
Wine,France Wine,France Red Wine,FRANCE,290965,PAUILLAC - CHATEAU LYNCH BAGES 2010,3.76002E+12,0.75,1,13,269.99,NA
Beer,Import Beer,Europe Beer,GERMANY,402230,ERDINGER - WEISSBIER,4.0021E+12,0.5,1,5.3,3.59,NA
Spirits,Whisky,Canadian Whisky,CANADA,423778,FORTY CREEK - FOXHEART,69321004760,0.75,1,40,41.99,NA
Spirits,Whisky,Blended Malt Scotch Whisky,UNITED KINGDOM,789768,MONKEY SHOULDER,5.01033E+12,0.75,1,43,52.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,23540,BRUNELLO DI MONTALCINO - COSTANTI 16,7.26452E+11,0.75,1,14.5,145.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,46250,TAYLOR FLADGATE - 40 YEAR OLD TAWNY,5.01363E+12,0.75,1,20,205.99,10
Spirits,Whisky,Canadian Whisky,CANADA,161329,BEARFACE 7 YEAR OLD TRIPLE OAK CANADIAN WHISKY,8.48819E+11,0.75,1,40,39.99,NA
Wine,France Wine,France Red Wine,FRANCE,178076,ST JULIEN - CHATEAU BRANAIRE DUCRU 2017,3.76011E+12,0.75,1,13,110,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,283119,SHIRAZ - QUARISA 30 MILE,9.33774E+12,0.75,1,14,12.49,0
Spirits,Whisky,Canadian Whisky,CANADA,434266,CROWN ROYAL GIFT TIN/WITH 2 SHOT GLASSES,82000757184,0.375,1,40,19.97,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,502120,HIGHLAND PARK - FREYA,87236400835,0.75,1,51.2,400,NA
Spirits,Gin,Dry Gin,UNITED KINGDOM,543173,HENDRICK'S GIN,5.01033E+12,0.375,1,44,28.49,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,641357,FORT BERENS - RIESLING 2020,6.2699E+11,0.75,1,12.5,20.99,1
Wine,Sake,Japan Sake,JAPAN,870923,YOSHI NO GAWA - UMI BLU PREMIUM GINJO,8.85891E+12,0.3,1,15,13.79,0
Spirits,Rum,White Rum,UNITED STATES OF AMERICA,45898,BACARDI - SUPERIOR WHITE,6.20213E+11,1.75,1,40,51.99,NA
Wine,France Wine,France Red Wine,FRANCE,97940,ST JULIEN - CHATEAU SAINT PIERRE 2018,,0.75,1,13,145,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,98387,LITTLEMILL - 25 YEAR OLD SINGLE MALT SCOTCH WHISKY,5.01684E+12,0.75,1,50.4,7100,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,125617,CALIFORNIA RED - APOTHIC WINEMAKERS BLEND,85000017746,0.75,1,13.1,15.99,2
Wine,France Wine,France Red Wine,FRANCE,153662,MARGAUX - CHATEAU PRIEURE LICHINE 2017,3.70023E+12,0.75,1,13,80,NA
Wine,France Wine,France Red Wine,FRANCE,186874,ST JULIEN - CHATEAU LEOVILLE LAS CASES 2010,3.25869E+12,0.75,1,13,750,0
Spirits,Whisky,Irish Whiskey,IRELAND,258137,REDBREAST - 15 YEAR OLD SINGLE POT STILL,80432106419,0.75,1,46,139.99,NA
Beer,Import Beer,Europe Beer,GERMANY,334276,HOLSTEN FESTBOCK TALL CAN,40678733,0.5,1,7,2.49,NA
Wine,Italy Wine,Italy Red Wine,ITALY,675926,BRUNELLO DI MONTALCINO - CIACCI PICCOLOMINI D'ARAGONA 2012,8.03261E+12,0.75,1,15,105.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,848713,BRIDGE BREWING - BLOOD ORANGE BOURBON  WHEAT ALE,6.41062E+11,0.65,1,5.5,6.89,NA
Wine,France Wine,France Red Wine,FRANCE,53457,PAUILLAC - CHATEAU MOUTON ROTHSCHILD 2018,,0.75,1,13,1500,NA
Wine,France Wine,France Red Wine,FRANCE,90483,POMEROL - CHATEAU LATOUR A POMEROL 2018,3.32816E+12,0.75,1,13,175,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,95246,CABERNET SAUVIGNON - FECOVITA CANDEL,7.79031E+12,4,1,14.6,33.99,1
Wine,France Wine,France Red Wine,FRANCE,97929,MOULIS - CHATEAU POUJEAUX 2018,,0.75,1,13,75,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,175661,BRAVA CAN,,0.355,15,4.9,23.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,229383,BAROLO - SANDRONE ALESTE 2013,8.02253E+12,0.75,1,14.5,209.99,0
Wine,France Wine,France Red Wine,FRANCE,234391,CHAMBOLLE MUSIGNY VIEILLES VIGNES - GEANTET PANSIOT 2016,,0.75,1,13,125.99,NA
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,340380,SAUVIGNON BLANC - TWO OCEANS,6.0015E+12,0.75,1,11.5,10.99,0
Wine,France Wine,France Red Wine,FRANCE,374447,CHATEAU MOUTON ROTHSCHILD PAUILLAC 2014,3.38812E+12,1.5,1,13,1800,NA
Refreshment Beverages,Cider,Domestic Cider,CANADA,388868,OKANAGAN APPLE CIDERS EXTRA - GLACIER BERRY,7.79305E+11,2,1,7,9.99,NA
Spirits,Tequila,Gold Tequila,MEXICO,425728,HORNITOS BLACK BARREL,80686835585,0.75,1,40,44.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,451091,CAMBUS - 32 YEAR OLD OLD PARTICULAR DOUGLAS LAING,5.01422E+12,0.7,1,45,234.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,753905,1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,88100000021,0.75,1,46.85,55.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,2838,BRUICHLADDICH - PORT CHARLOTTE 10 YEAR,5.05581E+12,0.75,1,50,99.99,NA
Wine,France Wine,France Red Wine,FRANCE,26545,PAUILLAC - CHATEAU LATOUR 2005,3.27703E+12,0.75,1,13,3050,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,43508,FACTORY - SPECTRUM CHOCOLATE BOX MIX PACK CAN,6.61429E+11,0.355,12,5,22.99,NA
Wine,France Wine,France Red Wine,FRANCE,53598,PESSAC LEOGNAN - CHATEAU HAUT BAILLY ROUGE 2018,,0.75,1,13,275,NA
Spirits,Whisky,Irish Whiskey,IRELAND,71746,TULLAMORE DEW,5.01103E+12,0.75,1,40,38.49,NA
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,85744,COURVOISIER - SHERRY CASK FINISH,80686961437,0.75,1,40,108.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,108814,GRENACHE - TAKE IT TO THE GRAVE MCLAREN VALE,9.34415E+12,0.75,1,14.2,17.99,0
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,119597,MATTHEW GLOAG - NAKED MALT,8.12066E+11,0.75,1,43,43.99,NA
Wine,France Wine,France Red Wine,FRANCE,143394,MARGAUX - PAVILLON ROUGE DU CHATEAU MARGAUX 2018,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,166020,CHATEAUNEUF DU PAPE - DOMAINE DUSEIGNEUR CATARINA 2018,3.38519E+12,0.75,1,15.5,67.99,0
Wine,France Wine,France White Wine,FRANCE,357863,VIRE CLESSE - HERITIERS DU COMTES LAFON 2018,97985150257,0.75,1,13,62.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,361332,GLENDRONACH - 1992 BATCH 18 CASK 6049,5.06072E+12,0.7,1,49.2,1675,NA
Wine,France Wine,France Red Wine,FRANCE,372136,CHATEAU MONTROSE 2014,6.2699E+11,0.75,1,13,250,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,438265,MACALLAN - SIR PETER BLAKE COLLABORATION AN ESTATE,8.12066E+11,0.75,1,47.7,2299.99,NA
Wine,France Wine,France White Wine,FRANCE,446085,CHASSAGNE MONTRACHET - PHILIPPE COLIN CHARDONNAY 2019,3.7602E+12,0.75,1,13,83.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,496045,MIKE'S HARD - PLAYBACK PACK CAN,62067385254,0.355,12,5,25.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,608786,PINOT NOIR - SOKOL BLOSSER DUNDEE HILLS 2017,88473980500,0.75,1,14,39.99,0
Spirits,Whisky,Irish Whiskey,IRELAND,636845,REDBREAST 12 YEAR OLD SINGLE POT STILL,80432586174,0.75,1,40,76.99,NA
Spirits,Gin,Dry Gin,CANADA,648188,G AND W DISTILLING - TEMPO RENOVO SMALL BATCH DRY GIN,6.27843E+11,0.75,1,40,33.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,3962,CHIANTI CLASSICO - RICASOLI BROLIO 2018,6.18109E+11,0.75,1,13,27.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,23195,PINOT NOIR - JACOB'S CREEK 1847,9.30073E+12,0.75,1,14,15.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,45906,RED ROOSTER - CABERNET MERLOT 2019,6.81247E+11,0.75,1,14.5,19.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,51210,STEAMWORKS - FLAGSHIP 8 CAN,1.85902E+11,0.355,8,6.7,14.99,NA
Wine,France Wine,France Red Wine,FRANCE,54856,COTE DE NUITS VILLAGES LES CHAILLOTS - GACHOT MONOT 2017,3.76016E+12,0.75,1,13,48.99,NA
Wine,France Wine,France Red Wine,FRANCE,143402,MARGAUX - CHATEAU LASCOMBES 2018,,0.75,1,13,190,NA
Wine,France Wine,France Red Wine,FRANCE,153679,ST ESTEPHE - CHATEAU PHELAN SEGUR 2017,3.66421E+12,0.75,1,13,100,NA
Wine,France Wine,France Red Wine,FRANCE,196301,BEAUNE - 1ER CRU CUVEE DAMES HOSPITALIERES 2017,,1.5,1,13,399.99,NA
Wine,France Wine,France Red Wine,FRANCE,371955,CHATEAU MARGAUX 2014,,0.75,1,13,880,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,410670,MCCLELLANDS - HIGHLAND,5.0105E+12,0.75,1,40,44.99,NA
Beer,Import Beer,Europe Beer,BELGIUM,554089,HOEGAARDEN,5.41023E+12,0.33,6,5,13.29,NA
Wine,France Wine,France Red Wine,FRANCE,46243,COTE ROTIE - E GUIGAL LA TURQUE 2017,6.2699E+11,0.75,1,13,540,0
Wine,Chile Wine,Chile Red Wine,CHILE,55166,PUENTE ALTA RED - ROTHSCHILD CONCHA Y TORO ALMAVIVA 2017,6.2699E+11,0.75,1,14.5,259.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,75388,SANTA CRUZ MOUNTAIN RED - RIDGE MONTE BELLO,7.44442E+11,0.75,1,13.7,349.99,0
Wine,France Wine,France Red Wine,FRANCE,90558,POMEROL - VIEUX CHATEAU CERTAN 2018,,0.75,1,13,675,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,187388,RAVENS BREWING COMPANY - HOT CHOCOLATE PORTER TALL CAN,,0.473,4,6,13.49,NA
Spirits,Liqueurs,Cream/Dairy Liqueurs,IRELAND,193490,BAILEYS - ORIGINAL IRISH CREAM,5.01101E+12,1.75,1,17,57.99,NA
Wine,France Wine,France Red Wine,FRANCE,210958,BEAUJOLAIS VILLAGES - DOMAINE LONGERE JARRE 2016,3.77E+12,0.75,1,13,49.99,0
Wine,Australia Wine,Australia White Wine,AUSTRALIA,423839,SAUVIGNON BLANC - MCGUIGAN BLACK LABEL,7.64254E+11,0.75,1,11,7.99,0
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,427094,PINK POODLE - ROSE,63657043288,4,1,12,39.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,488604,PARALLEL 49 - JELLY MONSTER SOUR MIXER 8 PACK TALL CAN,8.23994E+11,0.473,8,5,19.99,NA
Spirits,Liqueurs,Cream/Dairy Liqueurs,IRELAND,623678,CAROLANS - IRISH CREAM,5.01103E+12,1.14,1,17,35.99,NA
Wine,France Wine,France Red Wine,FRANCE,59202,CORTON BRESSANDES GRAND CRU - CHANDON DE BRIAILLES 2017,3.7601E+12,0.75,1,13,249.99,0
Spirits,Vodka,Straight Vodka,LATVIA,69781,STOLICHNAYA - PREMIUM,4.75002E+12,0.75,1,40,25.49,NA
Wine,France Wine,France Red Wine,FRANCE,90551,POMEROL - CHATEAU LA FLEUR PETRUS 2018,3.32816E+12,0.75,1,13,480,NA
Wine,France Wine,France Champagne Wine,FRANCE,132900,BEAUMONT DES CRAYERES - JACQUES LORENT GRANDE  RESERVE,3.463E+12,0.75,1,12,48.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,287243,CHIANTI CLASSICO GRAN SELEZIONE - FELSINA COLONIA,7.26452E+11,0.75,1,13.5,235.99,0
Spirits,Liqueurs,Fruit Liqueurs,UNITED STATES OF AMERICA,518688,SOUR PUSS - APPLE,87116035041,0.75,1,15,20.99,NA
Wine,France Wine,France White Wine,FRANCE,728857,PESSAC LEOGNAN BLANC - CHATEAU BROWN 2014,1.33768E+12,0.75,1,12.5,50,0
Wine,Italy Wine,Italy Red Wine,ITALY,852517,CHIANTI CLASSICO RISERVA - VITICCIO 09/10,7.51095E+11,0.75,1,13.5,38.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,31198,OPEN - SMOOTH WHITE,63657036105,0.75,1,13,11.99,1
Wine,Italy Wine,Italy Red Wine,ITALY,47809,LANGHE NEBBIOLO - SOTTIMANO,8.03277E+12,0.75,1,14,43.99,0
Wine,France Wine,France Red Wine,FRANCE,50156,PAUILLAC - CHATEAU D'ARMAILHAC 2018,,0.75,1,13,125,NA
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,77999,GRAN CENTENARIO PLATA,8.11538E+11,0.75,1,40,39.99,NA
Wine,France Wine,France White Wine,FRANCE,97913,SAUTERNES - CHATEAU SUDUIRAUT 2018,,0.75,1,13.5,150,NA
Wine,France Wine,France Red Wine,FRANCE,123057,ST ESTEPHE - LA DAME DE MONTROSE 2018,,0.75,1,13,100,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,142626,CABERNET SHIRAZ - PENFOLDS BIN 389 2018,12354007345,1.5,1,14.5,188.99,0
Wine,Chile Wine,Chile White Wine,CHILE,144525,SAUVIGNON BLANC - CONO SUR BICICLETA,7.80432E+12,0.375,1,12.3,6.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,161935,SHIRAZ - WAKEFIELD CLARE VALLEY 2017,9.31166E+12,0.75,1,14,19.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,162738,COLLI TOSCANA CENTRALE - FONTODI FLACCIANELLO 2014,6.2699E+11,0.75,1,14.5,135.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,202972,RED BLEND - PENNY LANE,89819722686,0.75,1,13.5,7.97,0
Spirits,Liqueurs,Cream/Dairy Liqueurs,IRELAND,386929,BAILEYS - APPLE PIE,5.01101E+12,0.75,1,17,30.49,NA
Beer,Import Beer,Europe Beer,SPAIN,648261,ESTRELLA DAMM TALL CAN,8.41079E+12,0.5,1,5.4,2.69,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,9688,CATTO - RARE OLD SCOTTISH,5.01051E+12,1.14,1,40,37.99,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,92557,JOHNNIE WALKER - GOLD LABEL RESERVE LIMITED EDITION,5.00027E+12,0.75,1,40,84.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,104362,CABERNET SAUVIGNON - SIDEWOOD ESTATE STABLEMATE,9.34233E+12,0.75,1,14,22.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,118638,GRAY MONK - PINOT GRIS 2020,7.78829E+11,0.75,1,13.1,17.99,1
Wine,France Wine,France White Wine,FRANCE,132056,BOURGOGNE - LUCIEN LE MOINE BLANC 2017,7.03599E+12,0.75,1,13,69.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,148510,BRUNELLO DI MONTALCINO - SAN FILIPPO LE LUCERE 2016,8.03298E+12,0.75,1,14.5,155.99,0
Wine,France Wine,France Red Wine,FRANCE,152264,CHATEAU RAUZAN SEGLA 2014,,0.75,1,13,120,0
Wine,France Wine,France Red Wine,FRANCE,154757,PAYS D'OC GRENACHE - PAUL MAS NOIR,3.76004E+12,0.75,1,13.5,14.99,0
Wine,France Wine,France White Wine,FRANCE,182488,MEURSAULT - DOMAINE BERNARD MILLOT 2017,3.76016E+12,0.75,1,13,89.99,NA
Wine,France Wine,France White Wine,FRANCE,203483,PESSAC LEOGNAN - CHATEAU CARBONNIEUX BLANC 2017,7.14153E+11,0.75,1,13,70,NA
Wine,Italy Wine,Italy Red Wine,ITALY,325050,BAROLO - GIOVANNI ROSSO SERRALUNGA D'ALBA 2015,8.02898E+12,0.75,1,14.5,69.99,0
Spirits,Whisky,Other Country Whisky,JAPAN,406564,ICHIRO'S MALT - CHICHIBU CHIBIDARU SINGLE CASK 2014,,0.7,1,53.5,2450,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,428946,SHIRAZ - BAROSSA VALLEY ESTATE BAROSSA 2019,9.31135E+12,0.75,1,14,21.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,519439,MENDOZA RED - NORTON PRIVADA,7.79232E+12,0.75,1,14,25.99,0
