ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Canadian Whisky,CANADA,173503,J.P. WISER'S RARE CASK SERIES SEVEN REBELS - CANADIAN WHISKY,48415540933,0.75,1,42.8,69.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,351395,BLACK CELLAR - MALBEC MERLOT,48162014039,0.75,1,13,9.99,2
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,86213,TOBERMORY - 12 YO,5.0297E+12,0.75,1,46.3,96.99,NA
Spirits,Vodka,Straight Vodka,POLAND,89201,WYBOROWA RYE GRAIN,5.90069E+12,1.14,1,40,34.49,NA
Wine,France Wine,France White Wine,FRANCE,203442,BARSAC - CHATEAU DOISY DAENE 2017,7.14153E+11,0.375,1,13,45,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,240242,BLASTED CHURCH - BIG BANG 2020,6.2699E+11,0.75,1,12.9,21.99,0
Spirits,Rum,White Rum,CANADA,486621,BACARDI - SUPERIOR WHITE PET,6.20213E+11,1.14,1,40,33.49,0
Wine,France Wine,France Red Wine,FRANCE,54145,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,123081,ST EMILION - CHATEAU PAVIE 2018,,0.75,1,13,1000,NA
Wine,France Wine,France Red Wine,FRANCE,178307,MARAGAUX - CHATEAU D'ISSAN 2017,3.27704E+12,0.75,1,13,140,NA
Wine,Canada - BC,Canada - BC Dessert Wine,CANADA,197244,WHISTLER - LATE HARVEST CHARDONNAY 2018,6.2699E+11,0.375,1,13.1,19.99,7
Wine,France Wine,France White Wine,FRANCE,207776,BARSAC - CHATEAU DOISY DAENE 2017,3.76002E+12,0.375,1,13,45,NA
Wine,France Wine,France Red Wine,FRANCE,227149,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,,0.75,1,13,1500,NA
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,287474,WHYTE AND MACKAY - SPECIAL,5.01397E+12,1.14,1,40,39.99,NA
Wine,France Wine,France Red Wine,FRANCE,300459,CHATEAU CANON LA GAFFELIERE 2014,7.14153E+11,0.75,1,13.5,130,0
Spirits,Whisky,Other Country Whisky,JAPAN,361943,KUJIRA RYUKYU WHISKY - BOURBON CASK 20YO,4.995E+12,0.7,1,43,340,NA
Wine,France Wine,France Red Wine,FRANCE,374330,LE PETIT MOUTON 2014,6.2699E+11,0.75,1,13,220,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,405084,GLENMORANGIE - 12 YEAR OLD QUINTA RUBAN PORT CASK FINISH,5.01049E+12,0.75,1,46,93.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,480454,SYRAH - STOLPMAN VINEYARDS BALLARD CANYON ESTATE 2018,8.90095E+11,0.75,1,14.1,49.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,485552,MALBEC - EL ESTECO OLD VINES 1946 2019,7.79019E+12,0.75,1,14,34.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,569715,OPEN - CABERNET MERLOT,63657024164,0.75,1,14,9.99,1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,844399,DRIFTWOOD BREWERY - FAT TUG IPA,6.28201E+11,0.65,1,7,6.19,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,863944,LABATT - BUD LIGHT LIME CAN,18200159831,0.355,12,4,25.99,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,944116,TIN WHISTLE - PEACH CREAM ALE,6.24117E+11,0.65,1,5,5.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,8894,OLD EZRA 7 YEAR OLD,88352112985,0.75,1,58.5,81.99,NA
Wine,Chile Wine,Chile White Wine,CHILE,16069,SAUVIGNON BLANC - CHOCALAN RESERVA,7.8046E+12,0.75,1,13.5,15.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,43012,PUENTE ALTA RED - ROTHSCHILD CONCHA Y TORO ALMAVIVA 2018,6.2699E+11,0.75,1,15,249.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,252335,SOAVE CLASSICO - TEDESCHI CAPITEL TENDA 2018,6.2699E+11,0.75,1,12.5,21.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,384040,RIBERA DEL DUERO CRIANZA - TORRES CELESTE 2017,8.41011E+12,0.75,1,14,28.99,0
Wine,France Wine,France Red Wine,FRANCE,53593,MOULIS - CHATEAU CHASSE-SPLEEN 2018,3.41947E+12,0.75,1,13,85,NA
Wine,France Wine,France White Wine,FRANCE,107736,SAVENNIERES - NICOLAS JOLY LES VIEUX CLOS 2018,3.35435E+12,0.75,1,15,67.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,108371,SHIRAZ - DAN STANDISH LAMELLA,6.2699E+11,0.75,1,15.3,134.99,0
Wine,France Wine,France White Wine,FRANCE,207843,PESSAC-LEOGNAN - CHATEAU BROWN BLANC 2017,3.76021E+12,0.75,1,13,60,NA
Wine,Fortified Wine,Port Wine,PORTUGAL,309401,TAYLOR FLADGATE - FIRST ESTATE RESERVE,5.01363E+12,0.75,1,20,22.99,10
Spirits,Vodka,Straight Vodka,RUSSIA (USSR),659383,RUSSIAN STANDARD - PLATINUM,7.3604E+11,0.75,1,40,32.99,NA
Spirits,Rum,Spiced Rum,UNITED STATES OF AMERICA,786376,SAILOR JERRY - SPICED NAVY,83664871384,1.14,1,46,42.99,NA
Spirits,Rum,Amber Rum,VENEZUELA,807495,DIPLOMATICO - RESERVA EXCLUSIVA,7.594E+12,0.75,1,40,64.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,24863,BRUICHLADDICH - ORGANIC 2010,5.05581E+12,0.7,1,50,115.99,NA
Wine,France Wine,France White Wine,FRANCE,26300,ANJOU - CHATEAU DE SURONDE ORGANIC 2018,3.76018E+12,0.75,1,12,27.99,0
